repo,priority,opportunity,recommended_frontend_component,recommended_backend_component,recommended_logic_component,recommended_process_component,recommended_eval_or_prompt,evidence_paths
mbarbine__platphorm-keys,enhance-existing,"AI assisted editing, outline generation, summarization, and transformation; AI automation planner, script explanation, runbook synthesis, and approval flow generation; AI documentation Q&A, summarization, indexing, and change explanation; AI generated insights, anomaly detection, summaries, and next actions; AI log triage, clustering, summaries, and incident narratives","Optional assistant panel, explain-this-control affordance, generated summaries, and helpful loading/degraded states.","Provider-neutral server-only model adapter with redaction, rate limiting, trace spans, eval hooks, and no client-exposed secrets.","Reusable prompt input normalizer, output validator, confidence scorer, and domain-specific result formatter.","Document when AI should assist, when human approval is required, what is logged, and how degraded states behave.","Add prompt templates, golden input/output fixtures, regression evals, and safety/quality acceptance checks.",FILE_MANIFEST.md | app/docs/page.tsx | app/globals.css | app/rss.xml/route.ts | components/ui/alert-dialog.tsx | components/ui/spinner.tsx | components/ui/use-mobile.tsx | components/ui/use-toast.ts | pnpm-lock.yaml
mbarbine__platphorm-kanban,enhance-existing,"AI assisted editing, outline generation, summarization, and transformation; AI assisted experimentation, test generation, and environment guidance; AI automation planner, script explanation, runbook synthesis, and approval flow generation; AI documentation Q&A, summarization, indexing, and change explanation; AI eval generation, scoring, regression analysis, and model comparison","Optional assistant panel, explain-this-control affordance, generated summaries, and helpful loading/degraded states.","Provider-neutral server-only model adapter with redaction, rate limiting, trace spans, eval hooks, and no client-exposed secrets.","Reusable prompt input normalizer, output validator, confidence scorer, and domain-specific result formatter.","Document when AI should assist, when human approval is required, what is logged, and how degraded states behave.","Add prompt templates, golden input/output fixtures, regression evals, and safety/quality acceptance checks.",LICENSE-PERMISSIVE.txt | PROJECT_PLAN.md | app/api/v1/reports/docs/route.ts | app/api/v1/tests/evals/route.ts | app/api/v1/tests/sandbox/route.ts | app/faq/page.tsx | app/feed.xml/route.ts | app/rss.xml/route.ts | components/automation-rules.tsx | components/ui/spinner.tsx | components/ui/tabs.tsx | pnpm-lock.yaml | pr_message.txt | types/kanban.ts
mbarbine__platphorm-jules,enhance-existing,"AI assisted editing, outline generation, summarization, and transformation; AI assisted experimentation, test generation, and environment guidance; AI automation planner, script explanation, runbook synthesis, and approval flow generation; AI documentation Q&A, summarization, indexing, and change explanation; AI eval generation, scoring, regression analysis, and model comparison","Optional assistant panel, explain-this-control affordance, generated summaries, and helpful loading/degraded states.","Provider-neutral server-only model adapter with redaction, rate limiting, trace spans, eval hooks, and no client-exposed secrets.","Reusable prompt input normalizer, output validator, confidence scorer, and domain-specific result formatter.","Document when AI should assist, when human approval is required, what is logged, and how degraded states behave.","Add prompt templates, golden input/output fixtures, regression evals, and safety/quality acceptance checks.",LICENSE-PERMISSIVE.txt | app/.well-known/mcp.json/route.ts | app/api/v1/docs/route.ts | app/api/v1/integrations/evals/run/route.ts | app/api/v1/integrations/sandbox/dry-run/route.ts | app/api/v1/kanban/board/route.ts | app/api/v1/onboard/import/[id]/create-kanban-tasks/route.ts | app/feed.xml/route.ts | app/globals.css | app/jobs/page.test.tsx | app/rss.xml/route.ts | components/ui/alert-dialog.tsx | components/ui/spinner.tsx | lib/platform-trace.ts | pnpm-lock.yaml
mbarbine__platphorm-json,enhance-existing,"AI assisted editing, outline generation, summarization, and transformation; AI automation planner, script explanation, runbook synthesis, and approval flow generation; AI documentation Q&A, summarization, indexing, and change explanation; AI eval generation, scoring, regression analysis, and model comparison; AI generated insights, anomaly detection, summaries, and next actions","Optional assistant panel, explain-this-control affordance, generated summaries, and helpful loading/degraded states.","Provider-neutral server-only model adapter with redaction, rate limiting, trace spans, eval hooks, and no client-exposed secrets.","Reusable prompt input normalizer, output validator, confidence scorer, and domain-specific result formatter.","Document when AI should assist, when human approval is required, what is logged, and how degraded states behave.","Add prompt templates, golden input/output fixtures, regression evals, and safety/quality acceptance checks.",ROADMAP.md | app/.well-known/mcp.json/route.ts | app/api/v1/minify/route.ts | app/docs/api-docs-client.tsx | app/feed.xml/route.ts | app/globals.css | app/rss.xml/route.ts | app/v0/realms/route.ts | components/ui/use-mobile.tsx | components/ui/use-toast.ts | lib/local-drafts.ts | pnpm-lock.yaml | public/schemas/json/evals.schema.json | public/schemas/json/podcast.schema.json | public/schemas/json/trace.schema.json
mbarbine__platphorm-jobs,enhance-existing,"AI assisted editing, outline generation, summarization, and transformation; AI automation planner, script explanation, runbook synthesis, and approval flow generation; AI documentation Q&A, summarization, indexing, and change explanation; AI generated insights, anomaly detection, summaries, and next actions; AI log triage, clustering, summaries, and incident narratives","Optional assistant panel, explain-this-control affordance, generated summaries, and helpful loading/degraded states.","Provider-neutral server-only model adapter with redaction, rate limiting, trace spans, eval hooks, and no client-exposed secrets.","Reusable prompt input normalizer, output validator, confidence scorer, and domain-specific result formatter.","Document when AI should assist, when human approval is required, what is logged, and how degraded states behave.","Add prompt templates, golden input/output fixtures, regression evals, and safety/quality acceptance checks.",app/api/v1/events/route.ts | app/api/v1/integrations/kanban/sync/route.ts | app/api/v1/jd/parse/route.ts | app/api/v1/network/kanban/route.ts | app/docs/page.tsx | app/feed.xml/route.ts | app/globals.css | app/rss.xml/route.ts | components/ui/spinner.tsx | lib/jobs-server-store.ts | pnpm-lock.yaml | testing_instructions.txt
mbarbine__platphorm-insights,enhance-existing,"AI assisted editing, outline generation, summarization, and transformation; AI automation planner, script explanation, runbook synthesis, and approval flow generation; AI documentation Q&A, summarization, indexing, and change explanation; AI eval generation, scoring, regression analysis, and model comparison; AI generated insights, anomaly detection, summaries, and next actions","Optional assistant panel, explain-this-control affordance, generated summaries, and helpful loading/degraded states.","Provider-neutral server-only model adapter with redaction, rate limiting, trace spans, eval hooks, and no client-exposed secrets.","Reusable prompt input normalizer, output validator, confidence scorer, and domain-specific result formatter.","Document when AI should assist, when human approval is required, what is logged, and how degraded states behave.","Add prompt templates, golden input/output fixtures, regression evals, and safety/quality acceptance checks.",CHANGELOG.md | PAGEINSIGHTS_IMPLEMENTATION.md | VERIFICATION_CHECKLIST.md | app/[locale]/docs/page.tsx | app/[locale]/jobs/page.tsx | app/api/v1/reports/[id]/route.ts | app/api/v1/results/[id]/trace/route.ts | app/api/v1/scoring/searchability/route.ts | app/feed.xml/route.ts | app/globals.css | app/rss.xml/route.ts | messages/zh.json | pnpm-lock.yaml | scripts/evaluation/run_eval_audience.ts | tests/lib/fingerprint.test.ts | tests/ui/score-gauge.test.ts | types/insights.ts
mbarbine__platphorm-fingerprint-service,enhance-existing,"AI assisted editing, outline generation, summarization, and transformation; AI automation planner, script explanation, runbook synthesis, and approval flow generation; AI documentation Q&A, summarization, indexing, and change explanation; AI generated insights, anomaly detection, summaries, and next actions; AI log triage, clustering, summaries, and incident narratives","Optional assistant panel, explain-this-control affordance, generated summaries, and helpful loading/degraded states.","Provider-neutral server-only model adapter with redaction, rate limiting, trace spans, eval hooks, and no client-exposed secrets.","Reusable prompt input normalizer, output validator, confidence scorer, and domain-specific result formatter.","Document when AI should assist, when human approval is required, what is logged, and how degraded states behave.","Add prompt templates, golden input/output fixtures, regression evals, and safety/quality acceptance checks.",README.md | app/.well-known/mcp.json/route.ts | app/api/v1/fingerprint/route.ts | app/docs/page.tsx | app/feed.xml/route.ts | app/globals.css | app/rss.xml/route.ts | components/ui/alert-dialog.tsx | components/ui/spinner.tsx | components/ui/use-mobile.tsx | components/ui/use-toast.ts | lib/platform/trace.ts | pnpm-lock.yaml
mbarbine__platphorm-finance,enhance-existing,"AI assisted editing, outline generation, summarization, and transformation; AI automation planner, script explanation, runbook synthesis, and approval flow generation; AI documentation Q&A, summarization, indexing, and change explanation; AI eval generation, scoring, regression analysis, and model comparison; AI generated insights, anomaly detection, summaries, and next actions","Optional assistant panel, explain-this-control affordance, generated summaries, and helpful loading/degraded states.","Provider-neutral server-only model adapter with redaction, rate limiting, trace spans, eval hooks, and no client-exposed secrets.","Reusable prompt input normalizer, output validator, confidence scorer, and domain-specific result formatter.","Document when AI should assist, when human approval is required, what is logged, and how degraded states behave.","Add prompt templates, golden input/output fixtures, regression evals, and safety/quality acceptance checks.",app/api/docs/route.ts | app/api/mcp/route.ts | components/kokonutui/content.tsx | components/ui/alert-dialog.tsx | components/ui/spinner.tsx | components/ui/tabs.tsx | components/ui/use-mobile.tsx | components/ui/use-toast.ts | pnpm-lock.yaml | public/schemas/evals.schema.json | public/schemas/podcast.schema.json | public/schemas/trace.schema.json
mbarbine__platphorm-evals,enhance-existing,"AI assisted editing, outline generation, summarization, and transformation; AI assisted experimentation, test generation, and environment guidance; AI automation planner, script explanation, runbook synthesis, and approval flow generation; AI documentation Q&A, summarization, indexing, and change explanation; AI eval generation, scoring, regression analysis, and model comparison","Optional assistant panel, explain-this-control affordance, generated summaries, and helpful loading/degraded states.","Provider-neutral server-only model adapter with redaction, rate limiting, trace spans, eval hooks, and no client-exposed secrets.","Reusable prompt input normalizer, output validator, confidence scorer, and domain-specific result formatter.","Document when AI should assist, when human approval is required, what is logged, and how degraded states behave.","Add prompt templates, golden input/output fixtures, regression evals, and safety/quality acceptance checks.",app/.well-known/mcp.json/route.ts | app/approvals/page.tsx | app/docs/page.tsx | app/feed.xml/route.ts | app/globals.css | app/rss.xml/route.ts | lib/cosmic/fingerprint.ts | lib/integrations/sandbox-client.ts | test-db-schema.ts | types/evals.ts | types/gates.ts | types/trace.ts | vercel_output.txt
mbarbine__platphorm-emoji,enhance-existing,"AI assisted editing, outline generation, summarization, and transformation; AI automation planner, script explanation, runbook synthesis, and approval flow generation; AI documentation Q&A, summarization, indexing, and change explanation; AI generated insights, anomaly detection, summaries, and next actions; AI log triage, clustering, summaries, and incident narratives","Optional assistant panel, explain-this-control affordance, generated summaries, and helpful loading/degraded states.","Provider-neutral server-only model adapter with redaction, rate limiting, trace spans, eval hooks, and no client-exposed secrets.","Reusable prompt input normalizer, output validator, confidence scorer, and domain-specific result formatter.","Document when AI should assist, when human approval is required, what is logged, and how degraded states behave.","Add prompt templates, golden input/output fixtures, regression evals, and safety/quality acceptance checks.",LICENSE-PERMISSIVE.txt | app/.well-known/mcp.json/route.ts | app/api/v1/datasets/emoji/inventory/search/route.ts | app/api/v1/proposals/[id]/trace/route.ts | app/api/v1/unicode/snapshot/route.ts | app/docs/page.tsx | app/feed.xml/route.ts | app/openapi/usl-emoji-validation.yaml/route.ts | app/rss.xml/route.ts | components/submit/local-proposal-draft.ts | components/ui/tabs.tsx | components/ui/use-toast.ts | pnpm-lock.yaml | vercel.json
mbarbine__platphorm-dictionary,enhance-existing,"AI assisted editing, outline generation, summarization, and transformation; AI automation planner, script explanation, runbook synthesis, and approval flow generation; AI documentation Q&A, summarization, indexing, and change explanation; AI eval generation, scoring, regression analysis, and model comparison; AI generated insights, anomaly detection, summaries, and next actions","Optional assistant panel, explain-this-control affordance, generated summaries, and helpful loading/degraded states.","Provider-neutral server-only model adapter with redaction, rate limiting, trace spans, eval hooks, and no client-exposed secrets.","Reusable prompt input normalizer, output validator, confidence scorer, and domain-specific result formatter.","Document when AI should assist, when human approval is required, what is logged, and how degraded states behave.","Add prompt templates, golden input/output fixtures, regression evals, and safety/quality acceptance checks.",README.md | app/[locale]/docs/page.tsx | app/[locale]/search/page.tsx | app/feed.xml/route.ts | app/globals.css | app/rss.xml/route.ts | components/ui/label.tsx | components/ui/spinner.tsx | pnpm-lock.yaml | public/schemas/evals.schema.json | public/schemas/podcast.schema.json | public/schemas/trace-realm.schema.json | tests/schemas.test.ts
mbarbine__platphorm-design,enhance-existing,"AI assisted editing, outline generation, summarization, and transformation; AI automation planner, script explanation, runbook synthesis, and approval flow generation; AI documentation Q&A, summarization, indexing, and change explanation; AI eval generation, scoring, regression analysis, and model comparison; AI generated insights, anomaly detection, summaries, and next actions","Optional assistant panel, explain-this-control affordance, generated summaries, and helpful loading/degraded states.","Provider-neutral server-only model adapter with redaction, rate limiting, trace spans, eval hooks, and no client-exposed secrets.","Reusable prompt input normalizer, output validator, confidence scorer, and domain-specific result formatter.","Document when AI should assist, when human approval is required, what is logged, and how degraded states behave.","Add prompt templates, golden input/output fixtures, regression evals, and safety/quality acceptance checks.",IMPLEMENTATION_COMPLETE.md | app/.well-known/mcp.json/route.ts | app/api/v1/designs/[id]/review/evals/route.ts | app/docs/layout.tsx | app/feed.xml/route.ts | app/globals.css | app/rss.xml/route.ts | components/ui/spinner.tsx | components/ui/use-toast.ts | pnpm-lock.yaml | tests/components/canvas.test.tsx | tests/lib/utils.test.ts
mbarbine__platphorm-desa,enhance-existing,"AI assisted editing, outline generation, summarization, and transformation; AI automation planner, script explanation, runbook synthesis, and approval flow generation; AI documentation Q&A, summarization, indexing, and change explanation; AI generated insights, anomaly detection, summaries, and next actions; AI log triage, clustering, summaries, and incident narratives","Optional assistant panel, explain-this-control affordance, generated summaries, and helpful loading/degraded states.","Provider-neutral server-only model adapter with redaction, rate limiting, trace spans, eval hooks, and no client-exposed secrets.","Reusable prompt input normalizer, output validator, confidence scorer, and domain-specific result formatter.","Document when AI should assist, when human approval is required, what is logged, and how degraded states behave.","Add prompt templates, golden input/output fixtures, regression evals, and safety/quality acceptance checks.",LICENSE-PERMISSIVE.txt | app/docs/layout.tsx | app/feed.xml/route.ts | app/globals.css | app/layout.tsx | app/rss.xml/route.ts | app/rules/layout.tsx | components/ui/spinner.tsx | lib/db.ts | lib/platform/trace.ts | lib/vt-submissions-store.ts | pnpm-lock.yaml
mbarbine__platphorm-decks,enhance-existing,"AI assisted editing, outline generation, summarization, and transformation; AI automation planner, script explanation, runbook synthesis, and approval flow generation; AI documentation Q&A, summarization, indexing, and change explanation; AI generated insights, anomaly detection, summaries, and next actions; AI log triage, clustering, summaries, and incident narratives","Optional assistant panel, explain-this-control affordance, generated summaries, and helpful loading/degraded states.","Provider-neutral server-only model adapter with redaction, rate limiting, trace spans, eval hooks, and no client-exposed secrets.","Reusable prompt input normalizer, output validator, confidence scorer, and domain-specific result formatter.","Document when AI should assist, when human approval is required, what is logged, and how degraded states behave.","Add prompt templates, golden input/output fixtures, regression evals, and safety/quality acceptance checks.",LICENSE-PERMISSIVE.txt | License FAQ.md | app/.well-known/mcp.json/route.ts | app/api/docs/route.ts | app/feed.xml/route.ts | app/globals.css | app/jobs/page.tsx | app/rss.xml/route.ts | components/ui/use-toast.ts | config/slideshow.schema.ts | cypress/e2e/cinematic-slideshow.cy.ts | pnpm-lock.yaml
mbarbine__platphorm-content-showback-dashboard,enhance-existing,"AI assisted editing, outline generation, summarization, and transformation; AI automation planner, script explanation, runbook synthesis, and approval flow generation; AI documentation Q&A, summarization, indexing, and change explanation; AI generated insights, anomaly detection, summaries, and next actions; AI log triage, clustering, summaries, and incident narratives","Optional assistant panel, explain-this-control affordance, generated summaries, and helpful loading/degraded states.","Provider-neutral server-only model adapter with redaction, rate limiting, trace spans, eval hooks, and no client-exposed secrets.","Reusable prompt input normalizer, output validator, confidence scorer, and domain-specific result formatter.","Document when AI should assist, when human approval is required, what is logged, and how degraded states behave.","Add prompt templates, golden input/output fixtures, regression evals, and safety/quality acceptance checks.",.jules/palette.md | ARCHITECTURE.md | app/api/docs/route.ts | app/api/register-network/route.ts | app/api/v1/content/analyze/route.ts | app/api/webhooks/subscribe/route.ts | app/jobs/page.tsx | app/workflows/page.tsx | components/fingerprinting-technology.tsx | components/smart-insights-panel.tsx | pnpm-lock.yaml | styles/globals.css
mbarbine__platphorm-codex,enhance-existing,"AI assisted editing, outline generation, summarization, and transformation; AI automation planner, script explanation, runbook synthesis, and approval flow generation; AI documentation Q&A, summarization, indexing, and change explanation; AI generated insights, anomaly detection, summaries, and next actions; AI log triage, clustering, summaries, and incident narratives","Optional assistant panel, explain-this-control affordance, generated summaries, and helpful loading/degraded states.","Provider-neutral server-only model adapter with redaction, rate limiting, trace spans, eval hooks, and no client-exposed secrets.","Reusable prompt input normalizer, output validator, confidence scorer, and domain-specific result formatter.","Document when AI should assist, when human approval is required, what is logged, and how degraded states behave.","Add prompt templates, golden input/output fixtures, regression evals, and safety/quality acceptance checks.",LICENSE-PERMISSIVE.txt | app/api/docs/route.ts | app/api/v1/dns/jobs/route.ts | app/api/v1/network/route-compliance/route.ts | app/api/v1/trace/spans/route.ts | app/faq/page.tsx | app/feed.xml/route.ts | app/globals.css | app/rss.xml/route.ts | components/ui/use-toast.ts | config/slideshow.schema.ts | pnpm-lock.yaml | vercel.json
mbarbine__platphorm-cobol,enhance-existing,"AI assisted editing, outline generation, summarization, and transformation; AI automation planner, script explanation, runbook synthesis, and approval flow generation; AI documentation Q&A, summarization, indexing, and change explanation; AI generated insights, anomaly detection, summaries, and next actions; AI log triage, clustering, summaries, and incident narratives","Optional assistant panel, explain-this-control affordance, generated summaries, and helpful loading/degraded states.","Provider-neutral server-only model adapter with redaction, rate limiting, trace spans, eval hooks, and no client-exposed secrets.","Reusable prompt input normalizer, output validator, confidence scorer, and domain-specific result formatter.","Document when AI should assist, when human approval is required, what is logged, and how degraded states behave.","Add prompt templates, golden input/output fixtures, regression evals, and safety/quality acceptance checks.",LICENSE-PERMISSIVE.txt | app/api/docs/route.ts | app/api/mcp/lib/handlers.ts | app/api/v1/jobs/route.ts | app/api/v1/kanban/route.ts | app/api/v1/pricing/route.ts | app/feed.xml/route.ts | app/globals.css | app/layout.tsx | app/rss.xml/route.ts | components/ui/spinner.tsx | lib/trace.ts | pnpm-lock.yaml
mbarbine__platphorm-business-EmployerServicesIncorporated,enhance-existing,"AI assisted editing, outline generation, summarization, and transformation; AI automation planner, script explanation, runbook synthesis, and approval flow generation; AI process assistant for checklists, SOPs, runbooks, and operational handoffs; Agent facing tool discovery, tool planning, and MCP usage guidance; Security signal explanation, trust scoring, bot analysis, and anomaly detection","Optional assistant panel, explain-this-control affordance, generated summaries, and helpful loading/degraded states.","Provider-neutral server-only model adapter with redaction, rate limiting, trace spans, eval hooks, and no client-exposed secrets.","Reusable prompt input normalizer, output validator, confidence scorer, and domain-specific result formatter.","Document when AI should assist, when human approval is required, what is logged, and how degraded states behave.","Add prompt templates, golden input/output fixtures, regression evals, and safety/quality acceptance checks.",README.md | lob-python/lob/resource.py | pnpm-lock.yaml | requirements.txt | src/app/api/mcp/route.ts | src/app/api/scripts/linkedin/route.ts | src/components/ui/Navbar.tsx
mbarbine__platphorm-browserops,enhance-existing,"AI assisted editing, outline generation, summarization, and transformation; AI assisted experimentation, test generation, and environment guidance; AI automation planner, script explanation, runbook synthesis, and approval flow generation; AI documentation Q&A, summarization, indexing, and change explanation; AI eval generation, scoring, regression analysis, and model comparison","Optional assistant panel, explain-this-control affordance, generated summaries, and helpful loading/degraded states.","Provider-neutral server-only model adapter with redaction, rate limiting, trace spans, eval hooks, and no client-exposed secrets.","Reusable prompt input normalizer, output validator, confidence scorer, and domain-specific result formatter.","Document when AI should assist, when human approval is required, what is logged, and how degraded states behave.","Add prompt templates, golden input/output fixtures, regression evals, and safety/quality acceptance checks.",app/.well-known/mcp.json/route.ts | app/api/v1/network/domains/route.ts | app/globals.css | app/rss.xml/route.ts | components/ui/journey-search.tsx | docs/SCHEMA.md | lib/cosmic/fingerprint.ts | lib/integrations/evals.ts | lib/integrations/sandbox.ts | patch_docs_again.js | patch_feed.js | pnpm-lock.yaml | types/trace.ts
mbarbine__platphorm-bbs,enhance-existing,"AI assisted editing, outline generation, summarization, and transformation; AI automation planner, script explanation, runbook synthesis, and approval flow generation; AI documentation Q&A, summarization, indexing, and change explanation; AI generated insights, anomaly detection, summaries, and next actions; AI log triage, clustering, summaries, and incident narratives","Optional assistant panel, explain-this-control affordance, generated summaries, and helpful loading/degraded states.","Provider-neutral server-only model adapter with redaction, rate limiting, trace spans, eval hooks, and no client-exposed secrets.","Reusable prompt input normalizer, output validator, confidence scorer, and domain-specific result formatter.","Document when AI should assist, when human approval is required, what is logged, and how degraded states behave.","Add prompt templates, golden input/output fixtures, regression evals, and safety/quality acceptance checks.",CHANGELOG.md | IMPLEMENTATION_REPORT.md | app/.well-known/mcp.json/route.ts | app/api/docs/route.ts | app/api/v1/ascii/convert/route.ts | app/feed.xml/route.ts | app/rss.xml/route.ts | app/search/page.tsx | components/ui/use-toast.ts | lib/auth/fingerprint.test.ts | lib/bbs/content.test.ts | lib/bbs/trace.ts | vitest.setup.ts
mbarbine__platphorm-base,enhance-existing,"AI assisted editing, outline generation, summarization, and transformation; AI automation planner, script explanation, runbook synthesis, and approval flow generation; AI documentation Q&A, summarization, indexing, and change explanation; AI generated insights, anomaly detection, summaries, and next actions; AI log triage, clustering, summaries, and incident narratives","Optional assistant panel, explain-this-control affordance, generated summaries, and helpful loading/degraded states.","Provider-neutral server-only model adapter with redaction, rate limiting, trace spans, eval hooks, and no client-exposed secrets.","Reusable prompt input normalizer, output validator, confidence scorer, and domain-specific result formatter.","Document when AI should assist, when human approval is required, what is logged, and how degraded states behave.","Add prompt templates, golden input/output fixtures, regression evals, and safety/quality acceptance checks.",README.md | __tests__/app/api/network.test.ts | app/.well-known/mcp.json/route.ts | app/api/docs/route.ts | app/api/network/graph/route.ts | app/feed.xml/route.ts | app/globals.css | app/rss.xml/route.ts | components/trace/trace-status.tsx | components/ui/alert-dialog.tsx | pnpm-lock.yaml | pr_body.txt | verify_job_input.py
mbarbine__platphorm-auction-vice,enhance-existing,"AI assisted editing, outline generation, summarization, and transformation; AI automation planner, script explanation, runbook synthesis, and approval flow generation; AI documentation Q&A, summarization, indexing, and change explanation; AI generated insights, anomaly detection, summaries, and next actions; AI log triage, clustering, summaries, and incident narratives","Optional assistant panel, explain-this-control affordance, generated summaries, and helpful loading/degraded states.","Provider-neutral server-only model adapter with redaction, rate limiting, trace spans, eval hooks, and no client-exposed secrets.","Reusable prompt input normalizer, output validator, confidence scorer, and domain-specific result formatter.","Document when AI should assist, when human approval is required, what is logged, and how degraded states behave.","Add prompt templates, golden input/output fixtures, regression evals, and safety/quality acceptance checks.",README.md | app/auth/logout/page.tsx | app/docs/page.tsx | app/feed.xml/route.ts | app/rss.xml/route.ts | app/search/page.tsx | components/listing/market-insights.tsx | components/ui/spinner.tsx | components/ui/use-toast.ts | hooks/use-fingerprint.ts | lib/integrations/shipments.ts | pnpm-lock.yaml | styles/globals.css | tests/features/realtime-bidding.test.ts
mbarbine__platphorm-ascii,enhance-existing,"AI assisted editing, outline generation, summarization, and transformation; AI automation planner, script explanation, runbook synthesis, and approval flow generation; AI documentation Q&A, summarization, indexing, and change explanation; AI generated insights, anomaly detection, summaries, and next actions; AI log triage, clustering, summaries, and incident narratives","Optional assistant panel, explain-this-control affordance, generated summaries, and helpful loading/degraded states.","Provider-neutral server-only model adapter with redaction, rate limiting, trace spans, eval hooks, and no client-exposed secrets.","Reusable prompt input normalizer, output validator, confidence scorer, and domain-specific result formatter.","Document when AI should assist, when human approval is required, what is logged, and how degraded states behave.","Add prompt templates, golden input/output fixtures, regression evals, and safety/quality acceptance checks.",README.md | app/.well-known/mcp.json/route.ts | app/api/schemas/route.ts | app/api/v1/trace/ui/route.ts | app/docs/page.tsx | app/feed.xml/route.ts | app/page.tsx | app/rss.xml/route.ts | components/ascii-converter.tsx | components/ui/use-mobile.tsx | components/ui/use-toast.ts | pnpm-lock.yaml | public/schemas/podcast.schema.json
mbarbine__platphorm-alleycats,enhance-existing,"AI assisted editing, outline generation, summarization, and transformation; AI automation planner, script explanation, runbook synthesis, and approval flow generation; AI documentation Q&A, summarization, indexing, and change explanation; AI generated insights, anomaly detection, summaries, and next actions; AI log triage, clustering, summaries, and incident narratives","Optional assistant panel, explain-this-control affordance, generated summaries, and helpful loading/degraded states.","Provider-neutral server-only model adapter with redaction, rate limiting, trace spans, eval hooks, and no client-exposed secrets.","Reusable prompt input normalizer, output validator, confidence scorer, and domain-specific result formatter.","Document when AI should assist, when human approval is required, what is logged, and how degraded states behave.","Add prompt templates, golden input/output fixtures, regression evals, and safety/quality acceptance checks.",CONTRIBUTING.md | README.md | app/api/docs/route.ts | app/api/v1/ascii/route.ts | app/feed.xml/route.ts | app/globals.css | components/ui/spinner.tsx | components/ui/use-mobile.tsx | components/ui/use-toast.ts | pnpm-lock.yaml
mbarbine__platphorm-ai-photo-enrichment,enhance-existing,"AI assisted editing, outline generation, summarization, and transformation; AI automation planner, script explanation, runbook synthesis, and approval flow generation; AI generated insights, anomaly detection, summaries, and next actions; AI log triage, clustering, summaries, and incident narratives; AI process assistant for checklists, SOPs, runbooks, and operational handoffs","Optional assistant panel, explain-this-control affordance, generated summaries, and helpful loading/degraded states.","Provider-neutral server-only model adapter with redaction, rate limiting, trace spans, eval hooks, and no client-exposed secrets.","Reusable prompt input normalizer, output validator, confidence scorer, and domain-specific result formatter.","Document when AI should assist, when human approval is required, what is logged, and how degraded states behave.","Add prompt templates, golden input/output fixtures, regression evals, and safety/quality acceptance checks.",SETUP.md | app/api/process-job/route.ts | app/api/process-queue/route.ts | app/auth/login/page.tsx | app/globals.css | components/ui/label.tsx | pnpm-lock.yaml
mbarbine__platphorm-agentui,enhance-existing,"AI assisted editing, outline generation, summarization, and transformation; AI automation planner, script explanation, runbook synthesis, and approval flow generation; AI documentation Q&A, summarization, indexing, and change explanation; AI generated insights, anomaly detection, summaries, and next actions; AI log triage, clustering, summaries, and incident narratives","Optional assistant panel, explain-this-control affordance, generated summaries, and helpful loading/degraded states.","Provider-neutral server-only model adapter with redaction, rate limiting, trace spans, eval hooks, and no client-exposed secrets.","Reusable prompt input normalizer, output validator, confidence scorer, and domain-specific result formatter.","Document when AI should assist, when human approval is required, what is logged, and how degraded states behave.","Add prompt templates, golden input/output fixtures, regression evals, and safety/quality acceptance checks.",IMPLEMENTATION_SUMMARY.md | app/(public)/changelog/page.tsx | app/(public)/docs/page.tsx | app/(workspace)/dashboard/components/recent-flows.tsx | app/(workspace)/dashboard/components/stats-grid.tsx | app/(workspace)/dashboard/observability/traces/page.tsx | app/.well-known/mcp.json/route.ts | app/feed.xml/route.ts | app/globals.css | app/rss.xml/route.ts | components/layout/search-trigger.tsx | lib/cosmic/fingerprint.ts | pnpm-lock.yaml | tests/setup.tsx
mbarbine__platphorm-404,enhance-existing,"AI assisted editing, outline generation, summarization, and transformation; AI automation planner, script explanation, runbook synthesis, and approval flow generation; AI documentation Q&A, summarization, indexing, and change explanation; AI eval generation, scoring, regression analysis, and model comparison; AI generated insights, anomaly detection, summaries, and next actions","Optional assistant panel, explain-this-control affordance, generated summaries, and helpful loading/degraded states.","Provider-neutral server-only model adapter with redaction, rate limiting, trace spans, eval hooks, and no client-exposed secrets.","Reusable prompt input normalizer, output validator, confidence scorer, and domain-specific result formatter.","Document when AI should assist, when human approval is required, what is logged, and how degraded states behave.","Add prompt templates, golden input/output fixtures, regression evals, and safety/quality acceptance checks.",README.md | app/.well-known/mcp.json/route.ts | app/api/docs/route.ts | app/api/v1/network/graph/route.ts | app/feed.xml/route.ts | app/rss.xml/route.ts | app/search/page.tsx | components/404/trace-integration.tsx | components/ui/alert-dialog.tsx | components/ui/use-mobile.tsx | components/ui/use-toast.ts | pnpm-lock.yaml | public/schemas/evals.schema.json | public/schemas/podcast.schema.json | styles/globals.css
